feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Anaerobutyricum_soehngenii	diet_grouped	Unknown	4.05471021585918	0.880891468645199	326	42	6.05536784828748e-06	0.00486246038217485
s__Alistipes_onderdonkii	sex	Male	-1.90123741103408	0.485542444592852	326	102	0.000110610565815501	0.0444101421749236
s__Fusicatenibacter_saccharivorans	diet_grouped	Unknown	3.2864459960824	0.896343595984901	326	47	0.000288663793222815	0.0772656753193068
s__Dorea_longicatena	diet_grouped	Unknown	4.35239414769691	1.23794609473253	326	56	0.000502961311928056	0.100969483369557
s__Alistipes_finegoldii	ethnicity_grouped	Asian	-1.39601461153639	0.417109842529421	326	63	0.000916572260969284	0.147201505111667
s__Dorea_formicigenerans	diet_grouped	Unknown	4.27039398177442	1.32205913625007	326	65	0.00136854014042644	0.161773745550401
s__Mediterraneibacter_faecis	diet_grouped	Unknown	3.95747636840594	1.22856045291933	326	45	0.00141023190392629	0.161773745550401
s__Roseburia_faecis	ethnicity_grouped	Asian	1.31853167198901	0.417950211741566	326	111	0.00176182837116196	0.176843522755381
s__Dialister_invisus	diet_grouped	Restrictive	1.20169616645946	0.391345498209724	326	68	0.00232236697881364	0.207206742665261
s__Barnesiella_intestinihominis	diet_grouped	Restrictive	1.35232566318465	0.451576503348862	326	72	0.00296582773586724	0.238155967190139
