pathway_model,n_IBS,n_HC,median_IBS,median_HC,mean_IBS,mean_HC,U_statistic,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_TK_var2,207,119,1.117,1.102,1.082,0.998,13799.0,0.0705,0.5761,False,False
CORE_TK_var1,207,119,0.751,0.748,0.838,0.811,13712.0,0.0886,0.5761,False,False
CORE_EMP2,207,119,0.81,0.812,0.845,0.824,11358.0,0.2423,0.6509,False,False
CORE_ASMO,207,119,0.0,0.0,0.045,0.024,12681.0,0.2488,0.6509,False,False
CORE_ED_var1,207,119,0.0,0.0,0.113,0.079,12998.0,0.3004,0.6509,False,False
CORE_ED_var2,207,119,0.0,0.0,0.078,0.055,12998.0,0.3004,0.6509,False,False
CORE_ASDO,207,119,0.0,0.0,0.038,0.024,12560.0,0.4139,0.6726,False,False
CORE_ASDO_var2,207,119,0.0,0.0,0.085,0.053,12560.0,0.4139,0.6726,False,False
CORE_EMP_alt,207,119,1.753,1.762,1.924,1.951,11916.0,0.6254,0.9033,False,False
CORE_EMP,207,119,1.747,1.755,1.759,1.758,12021.0,0.7188,0.9344,False,False
CORE_EMP1,207,119,0.557,0.559,0.597,0.587,12269.0,0.9542,1.0,False,False
CORE_TAL,207,119,0.0,0.0,0.052,0.055,12290.0,0.9561,1.0,False,False
CORE_ASDO_var3,207,119,0.0,0.0,0.0,0.0,12316.5,1.0,1.0,False,False
