pathway_model,metabolite,n_samples,spearman_rho,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_TAL,"1,2-dipalmitoyl-GPC (16:0/16:0)",193,0.3148688262722039,8.201723750381161e-06,0.04187779262912016,True,True
CORE_EMP2,glycylleucine,193,-0.30560446223681204,1.547173870447724e-05,0.04187779262912016,True,True
CORE_EMP_alt,1-methyladenine,193,0.29957667859622883,2.311768766508124e-05,0.04187779262912016,True,True
CORE_EMP2,N-acetylvaline,193,-0.297960846108648,2.5706505011974924e-05,0.04187779262912016,True,True
CORE_ASMO,5-aminovalerate,193,0.29298658335264144,3.550072654803717e-05,0.04187779262912016,True,True
CORE_TAL,4-hydroxybenzoate,193,0.29075844864077677,4.094480261849076e-05,0.04187779262912016,True,True
CORE_EMP2,1-methyl-beta-carboline-3-carboxylic acid,193,0.2882558356925378,4.7993295133019646e-05,0.04187779262912016,True,True
CORE_TAL,ribonate,193,0.2881870783789558,4.820217890842969e-05,0.04187779262912016,True,True
CORE_EMP2,N-acetylalanine,193,-0.28603907376742693,5.5175262487777776e-05,0.04187779262912016,True,True
CORE_ASMO,7-ketodeoxycholate,193,0.28176353175004804,7.196728272450239e-05,0.04187779262912016,True,True
CORE_ASMO,cholate,193,0.28047289471249115,7.79115363392293e-05,0.04187779262912016,True,True
CORE_ASMO,nicotianamine,193,0.2792645431636161,8.389149686175823e-05,0.04187779262912016,True,True
CORE_EMP2,2-acetamidobutanoate,193,-0.2785775332514288,8.748060659688715e-05,0.04187779262912016,True,True
CORE_ASMO,putrescine,193,0.2784284800833951,8.827806698252747e-05,0.04187779262912016,True,True
CORE_ASMO,ursodeoxycholate,193,0.27829786192451605,8.898249334499406e-05,0.04187779262912016,True,True
CORE_EMP2,N-propionylalanine,193,-0.27581659633566585,0.000103406723643278,0.04187779262912016,True,True
CORE_ASMO,12-dehydrocholate,193,0.2749579782434253,0.00010888844019249803,0.04187779262912016,True,True
CORE_ASMO,glycolithocholate sulfate*,193,0.27310195026435324,0.00012168067433747341,0.04187779262912016,True,True
CORE_EMP2,nicotianamine,193,-0.2718137385823407,0.00013137146694400115,0.04187779262912016,True,True
CORE_TAL,12-dehydrocholate,193,0.2706533583348213,0.00014071376600098253,0.04187779262912016,True,True
CORE_ASDO,5-aminovalerate,193,0.2701793527108373,0.0001447057001721734,0.04187779262912016,True,True
CORE_ASDO_var2,5-aminovalerate,193,0.2701793527108373,0.0001447057001721734,0.04187779262912016,True,True
CORE_ASMO,7-ketolithocholate,193,0.269737899552285,0.00014851840891471493,0.04187779262912016,True,True
CORE_TAL,cholate,193,0.26868399122841485,0.00015800344577844317,0.04187779262912016,True,True
CORE_ASMO,N-acetylputrescine,193,0.26803170716527336,0.00016415415598766467,0.04187779262912016,True,True
CORE_ASDO,"1,2-dipalmitoyl-GPC (16:0/16:0)",193,0.2673938391699039,0.00017038445617622672,0.04187779262912016,True,True
CORE_ASDO_var2,"1,2-dipalmitoyl-GPC (16:0/16:0)",193,0.2673938391699039,0.00017038445617622672,0.04187779262912016,True,True
CORE_TAL,glycolithocholate sulfate*,193,0.26576170455439246,0.00018734521030044934,0.04187779262912016,True,True
CORE_TAL,pyruvate,193,0.2646697389283998,0.0001995579774181471,0.04187779262912016,True,True
CORE_ASMO,isoursodeoxycholate,193,0.2643148178009337,0.0002036846424543203,0.04187779262912016,True,True
CORE_ASDO,nicotianamine,193,0.26197999647841336,0.00023287739700130375,0.04187779262912016,True,True
CORE_ASDO_var2,nicotianamine,193,0.26197999647841336,0.00023287739700130375,0.04187779262912016,True,True
CORE_ASMO,taurodeoxycholate,193,0.2611731037738585,0.000243840621977652,0.04187779262912016,True,True
CORE_EMP2,asparagine,193,-0.2602575316489504,0.0002568613545918463,0.04187779262912016,True,True
CORE_EMP2,beta-alanine,193,-0.26023916991613694,0.0002571289807271857,0.04187779262912016,True,True
CORE_ASMO,"1,2-dipalmitoyl-GPC (16:0/16:0)",193,0.2597569157585769,0.00026425150301107833,0.04187779262912016,True,True
CORE_ASDO,palmitoylcarnitine (C16),193,0.25940320319355353,0.0002695917516153954,0.04187779262912016,True,True
CORE_ASDO_var2,palmitoylcarnitine (C16),193,0.25940320319355353,0.0002695917516153954,0.04187779262912016,True,True
CORE_ASDO,ursodeoxycholate,193,0.2592279812501831,0.00027227421429949913,0.04187779262912016,True,True
CORE_ASDO_var2,ursodeoxycholate,193,0.2592279812501831,0.00027227421429949913,0.04187779262912016,True,True
CORE_ASMO,biliverdin,193,0.25875156726991283,0.00027969360630122317,0.04187779262912016,True,True
CORE_EMP2,leucylglutamine*,193,-0.25855322899417765,0.00028283747041067745,0.04187779262912016,True,True
CORE_ASDO,putrescine,193,0.25843701356064885,0.00028469483477572407,0.04187779262912016,True,True
CORE_ASDO_var2,putrescine,193,0.25843701356064885,0.00028469483477572407,0.04187779262912016,True,True
CORE_TAL,2-isopropylmalate,193,0.2583138062195652,0.00028667632127963325,0.04187779262912016,True,True
CORE_TAL,2-linoleoylglycerol (18:2),193,0.2582805296632357,0.00028721368706149524,0.04187779262912016,True,True
CORE_EMP,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",193,-0.25823273329416163,0.00028798716401640226,0.04187779262912016,True,True
CORE_EMP2,digalacturonic acid,193,-0.2582094715699972,0.0002883643028065631,0.04187779262912016,True,True
CORE_TAL,1-palmitoyl-GPC (16:0),193,0.258123222306042,0.000289766658970006,0.04187779262912016,True,True
CORE_ASDO,cholate,193,0.25773601793824924,0.0002961407964621642,0.04187779262912016,True,True
CORE_ASDO_var2,cholate,193,0.25773601793824924,0.0002961407964621642,0.04187779262912016,True,True
CORE_EMP,coprostanol,193,0.25701918968003845,0.00030828634461785146,0.04221479567760196,True,True
CORE_ASMO,3-dehydrocholate,193,0.2563203639535762,0.00032057088301347744,0.04221479567760196,True,True
CORE_ASDO,7-ketodeoxycholate,193,0.2562441615601293,0.00032193757102996507,0.04221479567760196,True,True
CORE_ASDO_var2,7-ketodeoxycholate,193,0.2562441615601293,0.00032193757102996507,0.04221479567760196,True,True
CORE_ASMO,hyocholate,193,0.2541791650089696,0.0003610986339366204,0.04650434549912332,True,True
CORE_ASMO,trimethylamine N-oxide,193,0.252521306683913,0.0003956886561919002,0.04915762940072259,True,True
CORE_ASMO,ursocholate,193,0.25224096912457394,0.00040183274561259437,0.04915762940072259,True,True
CORE_EMP2,alanylleucine,193,-0.2516291864750815,0.00041554930624670646,0.04915762940072259,True,True
CORE_EMP_alt,guanosine,193,-0.25157076277976603,0.00041688164611490254,0.04915762940072259,True,True
CORE_ASDO,12-dehydrocholate,193,0.25098739632520134,0.00043040397530567367,0.04915762940072259,True,True
