,sample_id,pathway_model,n_core_steps,n_detected_steps,coverage,score_raw,SQ_score,condition
0,SRR22709634,CORE_EMP1,4,1,0.25,2.0323143403035084,0.5080785850758771,IBS
1,SRR22709634,CORE_EMP2,4,1,0.25,3.1911505966876685,0.7977876491719171,IBS
2,SRR22709634,CORE_EMP,5,2,0.4,4.178771949592941,1.6715087798371766,IBS
3,SRR22709634,CORE_EMP_alt,5,2,0.4,4.178771949592941,1.6715087798371766,IBS
4,SRR22709634,CORE_TAL,5,0,0.0,0.0,0.0,IBS
5,SRR22709634,CORE_TK_var1,4,1,0.25,2.9560651203317034,0.7390162800829259,IBS
6,SRR22709634,CORE_TK_var2,6,2,0.3333333333333333,3.4288260567602777,1.1429420189200925,IBS
7,SRR22709634,CORE_ED_var1,5,0,0.0,0.0,0.0,IBS
8,SRR22709634,CORE_ED_var2,6,0,0.0,0.0,0.0,IBS
9,SRR22709634,CORE_ASDO,3,0,0.0,0.0,0.0,IBS
10,SRR22709634,CORE_ASDO_var2,2,0,0.0,0.0,0.0,IBS
11,SRR22709634,CORE_ASDO_var3,2,0,0.0,0.0,0.0,IBS
12,SRR22709634,CORE_ASMO,3,0,0.0,0.0,0.0,IBS
13,SRR22709635,CORE_EMP1,4,1,0.25,1.9859465773486384,0.4964866443371596,IBS
14,SRR22709635,CORE_EMP2,4,1,0.25,3.256304817666182,0.8140762044165455,IBS
15,SRR22709635,CORE_EMP,5,2,0.4,4.193801116011857,1.6775204464047428,IBS
16,SRR22709635,CORE_EMP_alt,5,2,0.4,4.193801116011857,1.6775204464047428,IBS
17,SRR22709635,CORE_TAL,5,0,0.0,0.0,0.0,IBS
18,SRR22709635,CORE_TK_var1,4,1,0.25,3.142955832642749,0.7857389581606873,IBS
19,SRR22709635,CORE_TK_var2,6,1,0.16666666666666666,2.0953038884284996,0.34921731473808326,IBS
20,SRR22709635,CORE_ED_var1,5,0,0.0,0.0,0.0,IBS
21,SRR22709635,CORE_ED_var2,6,0,0.0,0.0,0.0,IBS
22,SRR22709635,CORE_ASDO,3,0,0.0,0.0,0.0,IBS
23,SRR22709635,CORE_ASDO_var2,2,0,0.0,0.0,0.0,IBS
24,SRR22709635,CORE_ASDO_var3,2,0,0.0,0.0,0.0,IBS
25,SRR22709635,CORE_ASMO,3,0,0.0,0.0,0.0,IBS
26,SRR22709636,CORE_EMP1,4,1,0.25,2.9615693665688996,0.7403923416422249,HC
27,SRR22709636,CORE_EMP2,4,1,0.25,3.154668020858813,0.7886670052147032,HC
28,SRR22709636,CORE_EMP,5,2,0.4,4.8929899099421705,1.9571959639768683,HC
29,SRR22709636,CORE_EMP_alt,5,2,0.4,4.8929899099421705,1.9571959639768683,HC
30,SRR22709636,CORE_TAL,5,0,0.0,0.0,0.0,HC
31,SRR22709636,CORE_TK_var1,4,1,0.25,3.0477693227136697,0.7619423306784174,HC
32,SRR22709636,CORE_TK_var2,6,2,0.3333333333333333,3.224083125008668,1.0746943750028892,HC
33,SRR22709636,CORE_ED_var1,5,1,0.2,1.50505285749343,0.30101057149868604,HC
34,SRR22709636,CORE_ED_var2,6,1,0.16666666666666666,1.2542107145778585,0.20903511909630973,HC
35,SRR22709636,CORE_ASDO,3,0,0.0,0.0,0.0,HC
36,SRR22709636,CORE_ASDO_var2,2,0,0.0,0.0,0.0,HC
37,SRR22709636,CORE_ASDO_var3,2,0,0.0,0.0,0.0,HC
38,SRR22709636,CORE_ASMO,3,0,0.0,0.0,0.0,HC
39,SRR22709637,CORE_EMP1,4,1,0.25,2.3239425448429163,0.5809856362107291,IBS
40,SRR22709637,CORE_EMP2,4,1,0.25,3.2268392803857355,0.8067098200964339,IBS
41,SRR22709637,CORE_EMP,5,2,0.4,4.440625460182922,1.7762501840731688,IBS
42,SRR22709637,CORE_EMP_alt,5,2,0.4,4.440625460182922,1.7762501840731688,IBS
43,SRR22709637,CORE_TAL,5,0,0.0,0.0,0.0,IBS
44,SRR22709637,CORE_TK_var1,4,1,0.25,2.9246127735850656,0.7311531933962664,IBS
45,SRR22709637,CORE_TK_var2,6,2,0.3333333333333333,3.375962128843112,1.1253207096143707,IBS
46,SRR22709637,CORE_ED_var1,5,0,0.0,0.0,0.0,IBS
47,SRR22709637,CORE_ED_var2,6,0,0.0,0.0,0.0,IBS
48,SRR22709637,CORE_ASDO,3,0,0.0,0.0,0.0,IBS
49,SRR22709637,CORE_ASDO_var2,2,0,0.0,0.0,0.0,IBS
